Date,Open,High,Low,Close,Volume
DATE,REAL,REAL,REAL,REAL,REAL
11/7/2008,8774.49,8868.1,8266.09,8583,206349
11/10/2008,8711.99,9106.29,8711.99,9081.43,155362
11/11/2008,8965.29,9056.31,8704.56,8809.3,153772
11/12/2008,8694.91,8782.48,8574.2,8695.51,153703
11/13/2008,8564.47,8564.47,8148.3,8238.64,166644
11/14/2008,8378.13,8689.85,8378.13,8462.39,155568
11/17/2008,8366.88,8767.98,8218.82,8522.58,146004
11/18/2008,8415.6,8440.41,8302.24,8328.41,144227
11/19/2008,8309.35,8370.09,8115.71,8273.22,143889
11/20/2008,8149.77,8149.79,7703.04,7703.04,154317
11/21/2008,7600.35,7994.68,7406.18,7910.79,185244
11/25/2008,8026.06,8356.83,8025.69,8323.93,155039
11/26/2008,8229.72,8317.83,8149.56,8213.22,118874
11/27/2008,8311.24,8458.68,8300.49,8373.39,116608
11/28/2008,8400.05,8518.13,8336.57,8512.27,145322
12/1/2008,8464.36,8464.36,8307.28,8397.22,106923
12/2/2008,8266.32,8266.32,7863.69,7863.69,136009
12/3/2008,7965.31,8056.38,7889.82,8004.1,121195
12/4/2008,8030.2,8107.69,7849.84,7924.24,147934
12/5/2008,7975.05,8024.33,7908.65,7917.51,139359
12/8/2008,7970.69,8358.27,7959.01,8329.05,138902
12/9/2008,8362.37,8499.6,8314.85,8395.87,150751
12/10/2008,8376,8704.92,8376,8660.24,155699
12/11/2008,8642.26,8720.55,8519.11,8720.55,162132
12/12/2008,8599.12,8610.73,8087.99,8235.87,226572
12/15/2008,8349.85,8700.17,8349.85,8664.66,129290
12/16/2008,8608.4,8634.26,8471.24,8568.02,132137
12/17/2008,8658.22,8741.24,8425.66,8612.52,148353
12/18/2008,8565.16,8728.36,8534.84,8667.23,138852
12/19/2008,8640.22,8743.22,8570.56,8588.52,137979
12/22/2008,8602.5,8751.18,8593.76,8723.78,109782
12/24/2008,8630.25,8631.83,8476.69,8517.1,100788
12/25/2008,8531.51,8599.5,8531.16,8599.5,61199
12/26/2008,8642.14,8740.76,8611.36,8739.52,75801
12/29/2008,8726.31,8763.67,8638.6,8747.17,83187
12/30/2008,8716.28,8859.56,8702.95,8859.56,60809
1/5/2009,8991.21,9127.38,8987.36,9043.12,84905
1/6/2009,9130.01,9171.03,9029.94,9080.84,154832
1/7/2009,9133.8,9325.35,9106.05,9239.24,205625
1/8/2009,9143.21,9148.83,8876.42,8876.42,149933
1/9/2009,8932.71,8956.85,8773.2,8836.8,136995
1/13/2009,8732.63,8732.93,8405.5,8413.91,135645
1/14/2009,8425.75,8516.07,8359.16,8438.45,132726
1/15/2009,8309.38,8309.38,7997.73,8023.31,158345
1/16/2009,8125.2,8283.91,8067.47,8230.15,140598
1/19/2009,8318.26,8351.68,8221.84,8256.85,102644
1/20/2009,8187.14,8190.42,7962.46,8065.79,127949
1/21/2009,7949.96,8009.22,7829.3,7901.64,147081
1/22/2009,7988.3,8051.74,7809.89,8051.74,142592
1/23/2009,7965.41,7965.41,7745.25,7745.25,119791
1/26/2009,7714.26,7807.16,7671.04,7682.14,115045
1/27/2009,7782.9,8115.15,7782.07,8061.07,152492
1/28/2009,8052.25,8171.63,7936.59,8106.29,140040
1/29/2009,8201.16,8305.38,8138.99,8251.24,160292
1/30/2009,8142.88,8142.88,7922.39,7994.05,147958
2/2/2009,7908.51,7955.75,7795.27,7873.98,159723
2/3/2009,7862.95,8084.41,7800.8,7825.51,181547
2/4/2009,7897.24,8084.97,7863.65,8038.94,156832
2/5/2009,7985.53,8093.96,7901.04,7949.65,169451
2/6/2009,8054.27,8169.04,8033.24,8076.62,147273
2/9/2009,8178.07,8257.71,7969.03,7969.03,140457
2/10/2009,8066.94,8124.79,7917.27,7945.94,138587
2/12/2009,7842.53,7862.52,7685.68,7705.36,145924
2/13/2009,7789.35,7887.74,7730.27,7779.4,149651
2/16/2009,7732.68,7804.24,7694.73,7750.17,110563
2/17/2009,7690.13,7710.43,7615.94,7645.51,120820
2/18/2009,7539.96,7565.79,7479.18,7534.44,149351
2/19/2009,7604.22,7642.69,7537.56,7557.65,138223
2/20/2009,7544.07,7554.7,7382.33,7416.38,140757
2/23/2009,7314.3,7417.18,7209.43,7376.16,164278
2/24/2009,7266.68,7270.9,7155.16,7268.56,146805
